phase,previous_operation,frame_ms,cpu_ms,gpu_ms,gc_alloc_bytes,draw_calls
walking,3,7.9660,2.2415,0.0000,1604,222
walking,0,2.7451,2.0598,0.0000,84,222
walking,0,1.8480,2.0629,0.0000,36,222
walking,0,2.1174,7.9688,0.0000,36,222
walking,0,1.8799,2.7440,0.0000,36,221
walking,0,1.9779,1.8472,0.0000,36,222
walking,0,15.8693,2.1159,0.0000,36,222
walking,0,2.9692,1.8847,0.0000,36,222
walking,0,2.2353,1.9734,0.0000,36,221
walking,0,1.7988,15.8782,0.0000,36,220
walking,0,2.0483,2.9631,0.0000,36,221
walking,0,3.1398,2.2348,0.0000,36,221
walking,0,2.0670,1.7971,0.0000,36,219
walking,0,1.8262,2.0486,0.0000,36,217
walking,0,1.6301,3.1405,0.0000,36,218
walking,0,1.8938,2.0659,0.0000,36,219
walking,0,1.8534,1.8257,0.0000,36,219
walking,0,1.8856,1.6287,0.0000,36,219
walking,0,1.8175,1.8965,0.0000,36,218
walking,0,1.7931,1.8525,0.0000,36,219
walking,0,1.7764,1.8838,0.0000,36,219
walking,0,3.1477,1.8193,0.0000,36,219
walking,0,2.1077,1.7941,0.0000,36,219
walking,0,1.4009,1.7756,0.0000,36,219
walking,0,1.9317,3.1471,0.0000,36,219
walking,0,1.6551,2.1087,0.0000,36,219
walking,0,2.5665,1.3999,0.0000,36,219
walking,0,2.3961,1.9316,0.0000,36,219
walking,0,1.7510,1.6550,0.0000,36,217
walking,0,1.2825,2.5684,0.0000,36,219
walking,0,1.7616,2.3954,0.0000,36,219
walking,0,1.9106,1.7504,0.0000,36,219
walking,0,2.4592,1.2807,0.0000,36,219
walking,0,1.8099,1.7632,0.0000,36,219
walking,0,1.8720,1.9095,0.0000,36,218
walking,0,1.8138,2.4602,0.0000,36,219
walking,0,1.9657,1.8103,0.0000,36,215
walking,0,2.1125,1.8705,0.0000,36,214
walking,0,1.9265,1.8159,0.0000,36,215
walking,0,3.1462,1.9655,0.0000,36,215
walking,0,1.5190,2.1122,0.0000,36,215
walking,0,1.8408,1.9259,0.0000,36,215
walking,0,1.7302,3.1470,0.0000,36,215
walking,0,1.7710,1.5181,0.0000,36,214
walking,0,2.0048,1.8395,0.0000,36,215
walking,0,2.6181,1.7301,0.0000,36,213
walking,0,1.7989,1.7723,0.0000,36,215
walking,0,1.8668,2.0057,0.0000,36,215
walking,0,2.0838,2.6165,0.0000,36,215
walking,0,1.7466,1.8005,0.0000,36,215
walking,0,2.4314,1.8673,0.0000,36,215
walking,0,2.1639,2.0826,0.0000,36,215
walking,0,1.9932,1.7463,0.0000,36,214
walking,0,1.7595,2.4334,0.0000,36,215
walking,0,2.1873,2.1624,0.0000,36,214
walking,0,1.8176,1.9933,0.0000,36,215
walking,0,1.9407,1.7594,0.0000,36,215
walking,0,2.0105,2.1890,0.0000,36,215
walking,0,2.7930,1.8164,0.0000,36,216
walking,0,1.8190,1.9401,0.0000,36,216
walking,0,2.5744,2.0109,0.0000,36,215
walking,0,2.6989,2.7933,0.0000,36,216
walking,0,2.1915,1.8186,0.0000,36,216
walking,0,3.2022,2.5741,0.0000,36,216
walking,0,2.1916,2.7070,0.0000,36,216
walking,0,1.7686,2.1857,0.0000,36,216
walking,0,3.0929,3.2041,0.0000,36,214
walking,0,2.1632,2.1892,0.0000,36,215
walking,0,2.1903,1.7683,0.0000,36,215
walking,0,2.7326,3.0962,0.0000,36,212
walking,0,1.9059,2.1595,0.0000,36,212
walking,0,1.4241,2.1917,0.0000,36,211
walking,0,2.0210,2.7309,0.0000,36,208
walking,0,2.0166,1.9065,0.0000,36,208
walking,0,2.7835,1.4246,0.0000,36,208
walking,0,2.6223,2.0221,0.0000,36,208
walking,0,2.0176,2.0145,0.0000,36,204
walking,0,1.4737,2.7850,0.0000,36,205
walking,0,2.2321,2.6216,0.0000,36,204
walking,0,2.3605,2.0180,0.0000,36,205
walking,0,2.0513,1.4726,0.0000,36,205
walking,0,1.8728,2.2317,0.0000,36,205
walking,0,1.9343,2.3612,0.0000,36,205
walking,0,1.9014,2.0505,0.0000,36,205
