phase,previous_operation,frame_ms,cpu_ms,gpu_ms,gc_alloc_bytes,draw_calls,timing_timestamp,timing_main_ms,timing_render_ms,timing_present_wait_ms,loop_ns,scripts_ns,gui_ns,gc_ns,present_ns,render_wait_ns
walking,3,16.6670,16.6653,1.8145,1770890,241,818129460557,2.4857,0.9361,14.1648,0,0,245700,0,2000,0
walking,0,16.6684,16.6690,2.0500,16674,238,818129627210,1.9307,1.0183,14.7231,16652900,600800,883800,0,1600,0
walking,0,16.6677,16.6652,1.9948,10234,240,818129793900,1.7332,0.8012,14.9162,16651100,72200,383500,0,1400,0
walking,0,16.6653,16.6682,2.0920,10234,238,818129960552,13.1864,0.8615,3.4659,16649300,78000,278900,0,1600,0
walking,0,16.6685,16.6681,1.7981,10234,238,818130127234,3.0872,1.0020,13.5659,16651600,78800,537300,0,1500,0
walking,0,16.6664,16.6683,1.8033,10234,238,818130293915,2.2612,0.9557,14.3900,16651700,76000,282500,0,1800,0
walking,0,16.6667,16.6662,2.0091,16626,234,818130460598,2.0812,0.9510,14.5683,16650200,99100,529700,0,2100,0
walking,0,16.6679,16.6678,1.7961,10234,233,818130627260,2.8735,1.0116,13.7783,16649500,89100,286000,0,1500,0
walking,0,16.6648,16.6669,1.6937,10234,234,818130793938,2.4996,0.9819,14.1523,16650100,76900,613000,0,1600,0
walking,0,16.6662,16.6664,1.7050,10234,233,818130960607,2.3027,0.8542,14.3476,16648100,75200,252500,0,1400,0
walking,0,16.6658,16.6686,1.7234,10234,231,818131127271,2.4542,0.8636,14.1953,16649500,78400,240700,0,1400,0
walking,0,16.6678,16.6643,1.9640,16626,223,818131293957,2.3980,0.6669,14.2523,16656800,69000,677800,0,1300,0
walking,0,16.6670,16.6633,1.6794,10234,223,818131460600,2.0261,0.6388,14.6221,16652900,74600,295600,0,1500,0
walking,0,16.6684,16.6623,1.6988,10234,221,818131627233,2.1608,0.7697,14.4887,16656100,74100,232000,0,1500,0
walking,0,16.6656,16.6705,1.7009,10234,222,818131793856,2.1840,1.1857,14.4729,16650100,80600,256200,0,1400,0
walking,0,16.6667,16.6660,1.6671,10234,220,818131960561,1.9146,0.6375,14.7383,16656100,73700,241100,0,1500,0
walking,0,16.6674,16.6703,1.9845,16626,219,818132127221,1.6615,0.9109,14.9948,16652200,70600,610300,0,1300,0
walking,0,16.6674,16.6648,1.6968,10234,219,818132293924,1.8821,0.6611,14.7683,16662400,74000,313600,0,1200,0
walking,0,16.6665,16.6689,1.6794,22218,216,818132460572,1.9083,0.7861,14.7478,16640300,74000,239500,0,1300,0
walking,0,16.6762,16.6661,1.6691,10234,176,818132627261,2.1305,0.7843,14.5218,16669600,78400,270600,0,1400,0
walking,0,16.7201,16.6787,1.6333,10234,176,818132793922,2.0868,0.5935,14.5758,16695600,85500,372700,0,1800,0
walking,0,16.6669,16.6548,1.8934,16626,176,818132960709,2.2333,0.7941,14.4071,16650400,76400,533800,0,1300,0
walking,0,16.6655,16.6870,1.6005,10258,170,818133127257,2.0589,0.9514,14.6110,16646200,72400,292000,0,1600,0
walking,0,16.6878,16.7128,1.5862,10234,170,818133294127,2.2565,0.9611,14.4393,16687800,72300,285600,0,1300,0
walking,0,16.6554,16.6669,1.5718,10234,172,818133461255,2.0141,1.0377,14.6365,16620900,74100,251200,0,1500,0
walking,0,16.6672,16.6642,1.6640,10234,172,818133627924,2.0169,1.0051,14.6293,16652300,88500,251100,0,1600,0
walking,0,16.6660,16.7067,1.8504,16694,173,818133794566,1.7113,0.8174,14.9769,16646200,80300,662300,0,2100,0
walking,0,16.6669,16.6375,1.6620,10234,173,818133961633,1.9242,0.5916,14.6969,16650600,75400,301500,0,1500,0
walking,0,16.6679,16.6684,1.9139,10234,173,818134128008,1.6551,1.4398,14.9973,16664100,74100,264400,0,1600,0
walking,0,16.6674,16.6631,1.6548,10234,173,818134294692,2.6771,0.7866,13.9692,16640400,72200,241600,0,1200,0
walking,0,16.6688,16.6669,1.6773,10234,171,818134461323,1.9561,1.0137,14.6945,16655800,70700,293800,0,1100,0
walking,0,16.6649,16.6802,1.9886,16626,139,818134627992,2.0572,0.5974,14.6071,16643200,98100,695400,0,2300,0
walking,0,16.6639,16.6567,1.6507,10234,139,818134794794,1.7641,0.7036,14.8765,16642600,85500,286900,0,1800,0
walking,0,16.6642,16.6732,1.5544,10234,139,818134961361,1.8680,1.4408,14.7880,16645700,69000,216700,0,1500,0
walking,0,16.6669,16.6627,1.6302,10234,139,818135128093,2.4409,0.8000,14.2024,16655900,66100,260400,0,1300,0
walking,0,16.6693,16.6580,1.5258,10234,137,818135294720,2.4712,0.5337,14.1715,16663500,61400,216400,0,1100,0
walking,0,16.6684,16.6575,1.8381,16626,138,818135461300,1.6519,0.7071,14.9938,16654100,69200,562300,0,1200,0
walking,0,16.6662,16.6666,1.6241,10234,138,818135627875,1.8381,0.5651,14.8177,16653500,73400,251800,0,1400,0
walking,0,16.6669,16.6767,1.6476,10234,136,818135794541,1.8650,0.7435,14.7985,16651500,71500,234500,0,1200,0
walking,0,16.6649,16.6677,1.5585,10234,137,818135961308,2.1238,0.7746,14.5303,16646400,68100,1981400,833700,1300,0
walking,0,16.6668,16.6667,1.6343,10234,136,818136127985,2.0842,0.7151,14.5695,16653000,65600,220200,0,1100,0
walking,0,16.6673,16.6657,1.8309,16626,136,818136294652,1.5767,0.6627,15.0749,16656900,66900,635900,0,1200,0
walking,0,16.6687,16.6605,1.6200,10234,129,818136461309,2.5502,0.6117,14.0962,16659400,71400,269000,0,1100,0
walking,0,16.7009,16.6652,1.5329,10234,127,818136627914,1.6550,1.2542,14.9980,16689500,77200,255200,0,1600,0
walking,0,16.6654,16.6709,1.6302,10234,121,818136794566,1.9381,0.6915,14.7189,16655100,78300,239600,0,1400,0
walking,0,16.6643,16.6724,1.6200,10234,120,818136961275,1.7515,0.6327,14.9081,16641600,74800,243500,0,1400,0
walking,0,16.6669,16.7037,1.8483,16626,120,818137127999,1.8083,0.5973,14.8814,16653200,67000,539500,0,1000,0
walking,0,16.6680,16.6695,1.6210,10234,122,818137295036,1.9200,0.6074,14.7353,16654800,64300,246000,0,1200,0
walking,0,16.6658,16.6545,1.6435,23558,122,818137461731,1.9046,0.6795,14.7370,16650300,75000,267100,0,1300,0
walking,0,16.6690,16.6686,1.6691,10234,103,818137628276,1.7717,0.6610,14.8816,16661900,60700,204900,0,1200,0
walking,0,16.6644,16.6666,1.5995,10234,102,818137794962,1.7171,1.4890,14.9378,16647100,70100,227900,0,1300,0
walking,0,16.6704,16.6607,1.5770,16626,103,818137961628,2.2250,0.5361,14.4254,16661300,67400,524400,0,1100,0
walking,0,16.6637,16.6773,1.6660,10234,103,818138128235,1.3969,0.5010,15.2652,16645800,80700,371700,0,1400,0
walking,0,16.6660,16.6595,1.6620,10474,102,818138295008,1.6102,0.6127,15.0369,16653700,1298100,204400,0,1400,0
walking,0,16.6661,16.6751,1.6374,10310,101,818138461603,1.7208,0.6928,14.9407,16655600,76500,206700,0,1400,0
walking,0,16.6687,16.6582,1.5759,10310,99,818138628354,2.1881,0.4652,14.4576,16660600,76700,213600,0,1100,0
walking,0,16.6672,16.6640,1.9190,16702,99,818138794936,2.8415,0.4766,13.8124,16654800,75600,708900,0,1300,0
walking,0,16.6668,16.6655,1.6783,10310,99,818138961576,1.7848,0.5061,14.8708,16655200,75700,315300,0,1300,0
walking,0,16.6670,16.6726,1.6435,10310,99,818139128231,1.4578,0.6574,15.2029,16655500,86600,224800,0,1300,0
walking,0,16.6669,16.6663,1.6773,10310,98,818139294957,1.8817,0.5999,14.7731,16653400,75300,230100,0,1200,0
walking,0,16.6694,16.6664,1.6620,10310,99,818139461620,2.0156,0.6206,14.6396,16660800,78500,247700,0,1200,0
walking,0,16.6676,16.6672,1.9292,16702,99,818139628284,2.2510,0.4742,14.4045,16665400,91500,608300,0,1400,0
walking,0,16.6661,16.6678,1.7121,10310,99,818139794956,1.7965,0.5593,14.8570,16634400,96300,246600,0,1400,0
walking,0,16.6680,16.6761,1.6855,10310,99,818139961634,1.8292,0.6841,14.8317,16652300,87600,238700,0,1200,0
walking,0,16.6667,16.6825,1.6927,10310,99,818140128395,1.8697,0.5672,14.7957,16655500,95100,237800,0,1200,0
walking,0,16.6702,16.6529,1.7029,10310,99,818140295220,2.3866,0.5205,14.2480,16650600,90600,204000,0,1600,0
walking,0,16.6658,16.6677,1.8893,16702,99,818140461749,1.6847,0.5237,14.9676,16642800,105600,818200,0,2100,0
walking,0,16.6663,16.6723,1.6824,10310,99,818140628426,1.7628,0.5392,14.8928,16649400,88200,267900,0,2000,0
walking,0,16.6701,16.6693,1.5964,10310,99,818140795149,1.7867,0.9023,14.8641,16653300,81800,347900,0,1400,0
walking,0,16.6639,16.6598,1.9436,10382,99,818140961842,2.6991,0.6810,13.9438,16644900,125900,241100,0,1500,0
walking,0,16.7026,16.6657,1.6241,10310,99,818141128440,1.7840,1.6504,14.8657,16684700,107400,391900,0,1800,0
walking,0,16.6660,16.6751,1.9640,16702,93,818141295097,1.8461,0.6236,14.8073,16649400,89600,522700,0,1500,0
walking,0,16.6712,16.6617,1.7091,10310,92,818141461848,1.8220,0.8264,14.8232,16660300,84500,253200,0,1600,0
walking,0,16.6630,16.7007,1.7326,10310,93,818141628465,2.4725,0.6533,14.2124,16635900,88600,243800,0,1500,0
walking,0,16.6640,16.6642,1.7091,10310,93,818141795472,1.8735,0.5575,14.7761,16646200,83700,251100,0,1400,0
walking,0,16.6671,16.6794,1.6384,10310,93,818141962114,1.7096,0.5262,14.9509,16655200,76800,239000,0,1100,0
walking,0,16.7643,16.6536,1.9845,16702,93,818142128908,1.9003,0.6136,14.7356,16771600,71400,442000,0,1300,0
walking,0,16.6561,16.6591,1.7019,10310,93,818142295444,1.6099,0.5362,15.0363,16621400,85200,258400,0,1300,0
walking,0,16.6659,16.6662,1.6609,10310,91,818142462035,1.5081,0.5690,15.1472,16650900,79800,231300,0,1300,0
walking,0,16.6693,16.7895,1.9456,10310,91,818142628697,1.5405,0.4796,15.2314,16660700,92000,228600,0,1200,0
walking,0,16.6654,16.6352,1.7111,10310,91,818142796592,1.5485,0.5099,15.0731,16649200,81600,273400,0,1500,0
walking,0,16.6651,16.6633,1.9732,16702,91,818142962944,1.6675,0.6250,14.9833,16649200,79400,520200,0,1300,0
walking,0,16.6701,16.6751,1.7521,10310,91,818143129577,1.5000,0.5905,15.1608,16660100,95700,424400,0,2000,0
walking,0,16.6664,16.6629,1.7336,10310,91,818143296328,1.7662,0.5688,14.8831,16647900,451100,326000,0,1600,0
walking,0,16.6638,16.6623,1.7684,10310,91,818143462957,1.6862,0.9358,14.9631,16643300,95400,254100,0,1300,0
walking,0,16.6679,16.6771,1.7684,20666,91,818143629580,2.2066,1.0734,14.4536,16659200,76900,212200,0,1300,0
walking,0,16.6676,16.6644,1.9589,16702,294,818143796351,2.5235,0.5635,14.1244,16656700,72600,530300,0,1000,0
walking,0,16.6665,16.6557,1.7439,10310,293,818143962995,1.6432,2.6231,15.0002,16651400,81200,308700,0,1600,0
walking,0,16.6665,16.6703,1.7285,10310,291,818144129552,1.9204,3.0768,14.7388,16653800,74300,234000,0,1100,0
walking,0,16.6670,16.6691,1.7428,10310,291,818144296255,1.8844,0.6808,14.7723,16653900,72100,295800,0,1000,0
walking,0,16.6670,16.6642,1.7254,10310,288,818144462946,1.9729,0.5708,14.6787,16651400,73400,223000,0,1200,0
walking,0,16.6676,16.6666,1.9732,16702,288,818144629588,1.6132,0.6035,15.0407,16657100,77500,486200,0,1600,0
walking,0,16.6649,16.6696,1.7500,10310,286,818144796254,1.7890,0.5624,14.8650,16647700,82200,231100,0,1300,0
walking,0,16.6698,16.6660,1.6517,10310,288,818144962950,1.6482,0.8881,15.0033,16663000,75500,319300,0,1300,0
walking,0,16.6668,16.6704,1.6046,10310,285,818145129610,1.7481,0.6118,14.9092,16650000,129900,254700,0,1400,0
walking,0,16.6682,16.6596,1.6855,10310,287,818145296314,1.7548,0.7413,14.8929,16654000,83400,267800,0,1300,0
walking,0,16.6645,16.6786,1.9538,16702,286,818145462910,1.9854,0.6249,14.6776,16649200,81000,731500,0,1400,0
walking,0,16.6696,16.6641,1.7797,10310,287,818145629696,2.0261,0.6710,14.6240,16656400,84400,255000,0,1600,0
walking,0,16.6652,16.6687,2.0070,10334,285,818145796337,1.8098,1.5683,14.8444,16646900,78800,229500,0,1600,0
walking,0,16.6685,16.6640,1.6722,10310,289,818145963024,2.1564,0.6240,14.4930,16656100,75400,207700,0,1200,0
walking,0,16.6654,16.6715,1.7029,10310,289,818146129664,1.7213,0.6680,14.9352,16649000,79800,289800,0,1300,0
walking,0,16.6647,16.6611,1.9732,54554,288,818146296379,1.8723,0.5328,14.7747,16650100,82700,625400,0,1400,0
walking,0,16.6670,16.6720,1.6794,10334,583,818146462990,1.6549,0.6834,15.0015,16656000,74500,245100,0,1200,0
walking,0,16.6695,16.6626,2.1955,10310,581,818146629710,1.8220,9.2969,14.8271,16657300,84300,238500,0,1500,0
walking,0,16.6678,16.6626,1.8586,10310,583,818146796336,3.4756,9.1314,13.1747,16656300,79800,235100,0,1400,0
walking,0,16.6663,16.6687,1.8811,10310,583,818146962962,2.4668,1.0478,14.1893,16685300,91500,250300,0,1800,0
