phase,previous_operation,frame_ms,cpu_ms,gpu_ms,gc_alloc_bytes,draw_calls,timing_timestamp,timing_main_ms,timing_render_ms,timing_present_wait_ms,loop_ns,scripts_ns,gui_ns,gc_ns,present_ns,render_wait_ns
walking,3,16.8000,16.5681,2.2620,1771444,240,816783781140,2.0255,0.7037,14.5278,0,0,278800,0,1600,0
walking,0,16.5334,16.4354,1.7940,16674,241,816783946821,1.7575,0.7177,14.6615,16528800,706700,496100,0,1300,0
walking,0,16.6668,16.6655,1.8514,10234,240,816784111175,1.7320,0.8528,14.9155,16650300,82400,253200,0,1800,0
walking,0,16.6671,16.7921,1.7091,10234,238,816784277830,16.0612,0.7211,0.7158,16982700,78100,235800,0,1600,0
walking,0,16.6767,16.5423,2.1443,10234,238,816784445751,2.4110,0.7805,14.1180,16561000,68900,316000,0,1500,0
walking,0,16.6580,16.6677,2.1412,10234,238,816784611174,2.4119,0.8629,14.2387,16666100,70600,300900,0,1400,0
walking,0,16.6657,16.9981,1.7080,16626,234,816784777851,2.2360,0.8404,14.7469,16690800,66100,473600,0,1400,0
walking,0,16.6671,16.5746,2.1125,10234,234,816784947832,2.4032,0.7682,14.1579,16446700,72700,219500,0,1500,0
walking,0,16.6676,16.6805,1.7562,10234,234,816785113578,2.2783,0.8050,14.3880,16654600,73700,234100,0,1700,0
walking,0,16.6668,16.7075,2.1176,10234,235,816785280383,2.2728,0.6327,14.4182,16587100,65500,481900,0,1500,0
walking,0,16.6674,16.4597,2.0787,10234,231,816785447458,1.9392,0.6740,14.5077,16745900,70700,248200,0,1300,0
walking,0,16.6664,16.6704,1.6241,16626,223,816785612055,2.0564,0.6928,14.5982,16777700,74800,632600,0,1700,0
walking,0,16.6648,16.6025,2.0316,10234,224,816785778759,2.3007,0.6767,14.2865,16607000,67900,305700,0,1400,0
walking,0,16.7002,16.7621,1.7080,10234,221,816785944784,2.1735,1.4681,14.5724,17740000,62600,288200,0,1100,0
walking,0,16.6648,16.7948,2.0511,10234,222,816786112405,2.3669,0.7023,14.4110,16174700,93300,352400,0,2100,0
walking,0,16.8404,16.6255,2.0173,10234,221,816786280353,2.3841,0.7915,14.2230,16267900,80200,317500,0,1800,0
walking,0,16.6565,17.7568,1.5933,16626,219,816786446608,3.1284,0.9976,14.6119,16885400,69800,554100,0,1600,0
walking,0,16.6668,16.1968,1.5923,10234,218,816786624176,3.6407,1.0107,12.5343,16428700,64600,288900,0,1500,0
walking,0,16.6671,16.2846,1.6855,22218,216,816786786144,2.7693,0.8674,13.4987,16483900,66500,294200,0,1300,0
walking,0,16.6658,16.8995,1.9825,10234,176,816786948990,2.5862,0.7074,14.2994,16579900,65100,300600,0,1300,0
walking,0,16.6690,16.4429,2.0234,10234,176,816787117985,2.2447,0.6926,14.1840,16674100,72300,331200,0,1400,0
walking,0,16.6662,16.4968,1.5657,16626,176,816787282414,2.3016,0.6343,14.1824,16634400,67800,538100,0,1300,0
walking,0,16.6671,16.5943,2.0183,10258,172,816787447382,1.9382,0.7721,14.6418,16661900,68900,432700,0,1300,0
walking,0,16.6684,16.6889,1.6404,10234,172,816787613325,2.0513,0.7434,14.6230,16675800,75700,245400,0,1600,0
walking,0,16.6651,16.6491,2.0931,10234,172,816787780214,1.8884,1.4131,14.7461,16616600,70400,246000,0,1500,0
walking,0,16.6675,16.6768,2.0644,10234,172,816787946705,1.8959,0.6214,14.7661,17123800,71400,245500,0,1400,0
walking,0,16.6659,16.6913,1.6630,16694,173,816788113473,1.8115,0.5825,14.8645,16417800,65700,475800,0,1700,0
walking,0,16.6671,16.6309,1.9907,10234,173,816788280386,1.9700,0.7247,14.6467,16483500,64700,248000,0,1200,0
walking,0,16.6685,17.1392,1.6486,10234,173,816788446695,2.3795,0.7255,14.7445,16663100,68900,231500,0,1300,0
walking,0,16.6659,16.4315,1.6814,10234,173,816788618087,2.5779,0.6399,13.8401,16803200,76200,255900,0,1300,0
walking,0,16.6671,16.4967,2.0398,10234,171,816788782402,1.9365,0.5794,14.5471,16642100,68200,240900,0,1100,0
walking,0,16.6670,16.6786,1.6527,16626,139,816788947369,1.8323,0.6936,14.8310,16689000,66700,621300,0,1400,0
walking,0,16.6670,16.8189,1.9876,10234,139,816789114155,2.0194,0.5584,14.7839,16374600,74600,246000,0,1200,0
walking,0,16.6667,16.6563,1.6435,10234,139,816789282344,2.1445,0.7484,14.4978,16652800,69300,254000,0,1500,0
walking,0,16.6667,16.7020,1.9784,10234,139,816789448907,2.2858,0.6217,14.4034,16652700,70900,235300,0,1600,0
walking,0,16.6669,16.3882,1.9630,10234,138,816789615927,1.8011,0.5832,14.5737,16652500,75000,1981900,926600,1600,0
walking,0,16.6672,16.6665,1.6435,16626,138,816789779809,1.7920,0.6630,14.8609,16655900,73100,516400,0,1300,0
walking,0,16.6674,16.6668,1.6384,10234,138,816789946474,1.7319,0.7741,14.9208,16731900,69600,224100,0,1600,0
walking,0,16.6672,16.6655,1.6548,10234,138,816790113142,2.7742,0.7180,13.8784,16843200,69400,669500,0,1500,0
walking,0,16.6675,16.6708,1.5401,10234,138,816790279797,1.9688,0.7295,14.6872,16483300,69300,251100,0,1400,0
walking,0,16.6679,16.7473,1.9927,10234,136,816790446505,1.8496,0.7702,14.8823,16644000,79900,252200,0,1600,0
walking,0,16.6787,16.8578,1.5841,16626,136,816790613978,2.3393,0.6979,14.5040,16677000,74500,574800,0,1500,0
walking,0,16.6573,16.4993,1.9743,10234,129,816790782556,1.9933,0.6772,14.4901,16789100,65200,330300,0,1300,0
walking,0,16.6675,16.6580,1.5831,10234,127,816790947549,1.9970,0.8815,14.6470,16667500,62200,225000,0,1000,0
walking,0,16.6692,16.6921,1.6138,10234,122,816791114129,2.1443,0.6029,14.5329,16542500,65900,269100,0,1300,0
walking,0,16.6645,16.8044,1.9927,19026,122,816791281050,2.0936,0.6476,14.6957,16488400,83800,252800,0,2200,0
walking,0,16.6671,16.6813,1.5585,16626,122,816791449094,2.0158,0.9353,14.6518,16652600,72800,581400,0,1500,0
walking,0,16.6680,16.5601,1.6312,10234,122,816791615907,2.0157,0.7696,14.5270,16653900,81000,238000,0,1500,0
walking,0,16.6663,16.5056,1.6425,23558,122,816791781508,2.4739,0.7182,14.0145,16653700,73600,216500,0,1600,0
walking,0,16.6666,16.6666,1.9999,10234,103,816791946564,1.9409,0.7689,14.7118,16650800,72500,244200,0,1100,0
walking,0,16.7271,16.6686,1.6404,10234,103,816792113230,1.7090,1.8553,14.9450,16711300,180300,231300,0,1800,0
walking,0,16.6669,16.6682,1.5585,16626,103,816792279916,2.0820,0.5351,14.5719,16650000,71800,480800,0,1400,0
walking,0,16.6672,16.6664,2.0275,10234,102,816792446598,1.5855,0.7450,15.0655,16652400,69100,255800,0,1400,0
walking,0,16.6656,16.7277,1.6343,10474,103,816792613262,1.7862,0.6164,14.9252,16656200,2009300,416100,0,1700,0
walking,0,16.6778,16.6656,1.6435,10310,101,816792780539,1.7746,0.9230,14.8755,16850900,75900,267000,0,1500,0
walking,0,16.6584,16.6692,1.6620,19102,99,816792947195,1.6776,0.5686,14.9748,16437200,73600,236300,0,1600,0
walking,0,16.6659,16.6806,1.6701,16702,99,816793113887,3.8076,0.7838,12.8491,16648900,83100,595200,0,1500,0
walking,0,16.6670,16.8663,2.2159,10310,99,816793280693,1.9035,0.7580,14.9475,16653100,80000,240300,0,1500,0
walking,0,16.6664,16.4553,1.6466,10310,98,816793449356,1.9663,1.1568,14.4711,16646900,96700,262400,0,1500,0
walking,0,16.6707,16.6649,1.6609,10310,99,816793613909,1.8438,0.5307,14.8053,16660700,80100,218100,0,1400,0
walking,0,16.6637,16.6690,2.0081,10310,99,816793780558,1.6872,0.6955,14.9660,16638600,99600,255900,0,1900,0
walking,0,16.6694,16.6617,1.6046,16702,99,816793947248,2.4503,0.4812,14.1967,16652400,84600,503200,0,1500,0
walking,0,16.6687,16.6784,2.0449,10310,99,816794113865,1.6554,0.6662,15.0054,16657400,88200,270100,0,1400,0
walking,0,16.6652,16.6575,1.5739,10310,99,816794280649,1.8299,0.7442,14.8088,16647700,80000,216600,0,1500,0
walking,0,16.6662,16.6672,2.0326,10310,99,816794447224,1.8113,0.8622,14.8411,16726600,76200,211200,0,1300,0
walking,0,16.6680,16.6712,2.0070,10310,99,816794613896,1.8340,0.7366,14.8236,16777900,73600,254900,0,1200,0
walking,0,16.6681,16.6622,1.5811,16702,98,816794780608,1.6213,0.6287,15.0265,16543800,77000,494500,0,1800,0
walking,0,16.6665,16.7393,1.6312,10310,99,816794947230,1.6212,0.5906,15.1055,16873200,78100,238600,0,1700,0
walking,0,16.6683,16.7940,1.7029,10310,98,816795114623,1.6979,0.8024,15.0803,16430100,73600,302900,0,1600,0
walking,0,16.6670,16.5628,2.0531,10382,99,816795282563,1.9049,0.5801,14.6391,16651300,111100,276100,0,1600,0
walking,0,16.6661,16.8892,2.0562,10310,99,816795448191,2.2625,0.8961,14.6110,16558400,83900,238300,0,1600,0
walking,0,16.6676,16.4460,1.6261,16702,93,816795617083,1.6307,0.8402,14.7996,16652000,92900,602400,0,1800,0
walking,0,16.6672,16.6678,2.0787,10310,93,816795781543,1.8410,0.7896,14.8106,16651300,87500,248900,0,1700,0
walking,0,16.6666,16.5750,1.6927,10310,93,816795948221,1.6457,1.0264,14.9128,16649000,86800,239400,0,1300,0
walking,0,16.6661,16.6684,1.7162,10310,93,816796113971,1.7066,0.7211,14.9457,16651800,82100,219900,0,1300,0
walking,0,16.6667,16.6680,2.0664,10310,92,816796280655,1.7486,0.5724,14.9028,16651100,91800,256200,0,1200,0
walking,0,16.6663,16.6636,1.6097,16702,93,816796447335,1.7347,0.4804,14.9144,16650200,83800,509300,0,1300,0
walking,0,16.6669,16.6672,2.0705,10310,93,816796613971,1.5016,0.5268,15.1504,16744500,92200,248200,0,1400,0
walking,0,16.6667,16.6653,1.7521,10310,90,816796780643,1.7143,0.6252,14.9369,16650000,78500,222600,0,1500,0
