phase,previous_operation,frame_ms,cpu_ms,gpu_ms,gc_alloc_bytes,draw_calls,timing_timestamp,timing_main_ms,timing_render_ms,timing_present_wait_ms,loop_ns,scripts_ns,gui_ns,gc_ns,present_ns,render_wait_ns
walking,3,17.0788,16.6691,0.0000,1771642,241,814389283245,2.3415,0.7937,14.3045,0,0,521800,759800,4000,0
walking,0,16.6730,16.6881,1.5872,10282,241,814389449936,3.1101,0.8743,13.5592,16671300,766500,265200,0,1800,0
walking,0,16.6664,16.6331,1.6292,10234,240,814389616817,2.1067,1.0559,14.5081,16745500,83900,248300,0,1400,0
walking,0,16.6720,17.0670,1.5923,10234,238,814389783148,17.0379,0.6913,0.0127,16562800,87600,714500,0,3700,0
walking,0,16.6608,16.6867,1.9231,16626,238,814389953818,3.4026,0.8006,13.2687,16631100,85300,781200,0,1800,0
walking,0,16.6674,16.7629,1.5974,10234,237,814390120685,2.0768,1.0420,14.6690,16647800,90400,264300,0,1800,0
walking,0,16.6666,16.5845,1.5677,10234,233,814390288314,3.1827,0.8866,13.3806,16651600,86800,260800,0,1700,0
walking,0,16.6668,16.6501,1.5616,10234,234,814390454159,2.4895,0.8249,14.1418,16648200,82100,294600,0,1600,0
walking,0,16.6677,16.6649,1.5841,10234,232,814390620660,2.1014,0.7570,14.5468,16651100,99600,285800,0,1700,0
walking,0,16.6674,16.6686,1.8934,16626,235,814390787309,2.0975,0.8057,14.5543,16653800,87800,665700,0,1800,0
walking,0,16.6672,16.6644,1.5360,10234,231,814390953995,2.1903,1.2668,14.4581,16654600,85000,359500,0,2300,0
walking,0,16.6740,16.6683,1.5626,10234,224,814391120639,2.2935,0.8528,14.3577,16657500,87900,256900,0,1600,0
walking,0,16.6599,16.6708,1.5155,10234,224,814391287322,2.4129,1.2540,14.2410,16624700,82100,240200,0,1500,0
walking,0,16.6659,16.6757,1.4725,10234,220,814391454030,2.7483,0.7410,13.9066,16651700,92800,259300,0,1900,0
walking,0,16.6689,16.6812,1.8504,16626,222,814391620787,2.3840,0.7859,14.2739,16651300,85400,1112100,0,1700,0
walking,0,16.7285,16.6414,1.4756,10234,222,814391787599,1.9622,1.0203,14.6626,16728300,82200,284900,0,1500,0
walking,0,16.6591,16.6694,1.5268,10234,219,814391954013,2.2047,0.9397,14.4472,16602900,110200,383900,0,1700,0
walking,0,16.7115,16.6661,1.5002,10234,219,814392120707,3.0105,0.8153,13.6410,16692800,95000,577500,0,1700,0
walking,0,16.6676,16.7620,1.5002,22218,216,814392287368,2.2137,1.1524,14.5158,16650300,101700,263000,0,1500,0
walking,0,16.6656,16.6271,1.8340,16626,176,814392454988,2.8417,0.8944,13.7614,16646400,85100,623000,0,2000,0
walking,0,16.6698,16.7111,1.4705,10234,176,814392621259,2.5548,0.7287,14.1382,16656600,88800,255600,0,1700,0
walking,0,16.6751,16.6679,1.4377,10234,176,814392788370,2.6524,0.9579,13.9981,16668700,81500,496800,0,1300,0
walking,0,16.6644,16.6636,1.8760,10258,172,814392955049,2.1254,0.6984,14.5211,16578800,152600,269500,0,2100,0
walking,0,16.7256,16.6748,1.4316,10234,172,814393121685,2.2690,1.0640,14.3878,16705900,85300,280900,0,1900,0
walking,0,16.6395,16.6979,1.8033,16626,172,814393288433,2.3303,0.6958,14.3386,16621700,101400,585300,0,2000,0
walking,0,16.6750,16.6423,1.8739,10234,172,814393455412,2.4691,0.7077,14.1099,16657700,84700,277700,0,2100,0
walking,0,16.6628,16.7259,2.1996,10302,173,814393621835,2.1404,1.2600,14.5657,16648400,79000,627400,0,2100,0
walking,0,16.6695,16.6378,1.8586,10234,172,814393789094,2.2691,0.7754,14.3526,16645300,79900,263800,0,1800,0
walking,0,16.6601,16.6748,1.4367,10234,173,814393955472,1.7677,0.6946,14.8902,16628800,82600,263800,0,1600,0
