phase,previous_operation,frame_ms,cpu_ms,gpu_ms,gc_alloc_bytes,draw_calls,timing_timestamp,timing_main_ms,timing_render_ms,timing_present_wait_ms,loop_ns,scripts_ns,gui_ns,gc_ns,present_ns,render_wait_ns
walking,3,32.3858,2.7612,0.0000,1771436,241,812248521906,2.7452,1.6033,0.0071,0,0,415700,0,3300,0
walking,0,4.1140,3.0236,1.2493,10282,241,812248549518,3.0014,1.6023,0.0091,4089300,1286500,457200,0,2200,0
walking,0,3.1437,3.7991,1.0465,10234,239,812248579754,3.7701,1.3107,0.0118,3135200,92200,915600,0,1900,0
walking,0,3.5219,32.3895,1.0363,16626,240,812248617745,32.3543,0.8985,0.0136,3509000,188100,1343400,0,3700,0
walking,0,2.5943,4.0987,0.0000,10234,237,812248941640,4.0818,1.3120,0.0076,2584600,99300,276900,0,1600,0
walking,0,3.1761,3.1473,1.0291,10234,237,812248982627,3.1270,1.3647,0.0083,3171400,102700,599300,0,2900,0
walking,0,3.6775,3.5190,1.2677,10234,237,812249014100,3.4999,1.0095,0.0091,3674500,103800,637100,0,2100,0
walking,0,3.0871,2.5931,0.0000,10234,238,812249049290,2.5774,1.6509,0.0072,3051600,100400,294400,0,1700,0
walking,0,2.6695,3.1824,1.4060,10234,0,812249075221,3.1624,1.2634,0.0090,2659700,103800,402800,0,2300,0
walking,0,4.3965,3.6886,1.0373,10234,476,812249107045,2.9472,1.3298,0.7273,4392800,104000,785200,0,1800,0
walking,0,2.3800,3.0715,0.0000,10234,238,812249143931,3.0425,1.5215,0.0092,2359100,103000,344000,0,2100,0
walking,0,2.3883,2.6701,1.0465,10234,238,812249174646,2.6505,1.2035,0.0092,2380500,88100,276500,0,1900,0
walking,0,3.3038,4.4057,1.0199,10234,238,812249201347,3.2718,0.9972,1.1211,3303500,104600,483700,0,3100,0
walking,0,2.5104,2.3681,0.0000,10234,238,812249245404,2.3511,1.7199,0.0080,2477800,97300,308300,0,1700,0
walking,0,3.1144,2.3898,1.0609,10234,238,812249269085,2.3727,1.0017,0.0077,3107600,86400,509400,0,1800,0
walking,0,2.9421,3.3178,1.2554,10234,238,812249292983,2.3036,0.8632,1.0001,2929800,142600,717000,0,2000,0
walking,0,2.6108,2.4953,0.0000,10234,238,812249326161,2.4706,1.4003,0.0073,2596600,122100,362700,0,2800,0
walking,0,3.1284,3.1200,1.0086,10234,238,812249351114,3.0980,0.9444,0.0098,3117200,123100,695500,0,2800,0
walking,0,3.0399,2.9425,0.0000,10234,238,812249382314,2.9207,1.6243,0.0093,3030500,80200,849300,0,3000,0
walking,0,2.6149,2.6077,0.9861,10234,238,812249411739,2.5869,0.8711,0.0098,2606100,101000,336300,0,2300,0
walking,0,2.7801,3.1260,1.0117,10234,238,812249437816,3.1090,1.3206,0.0083,2767900,95300,427600,0,1700,0
walking,0,2.7193,3.0404,1.0189,10234,234,812249469076,3.0221,1.3708,0.0086,2716700,95700,478600,0,1700,0
walking,0,3.3228,2.6170,0.0000,10234,234,812249499480,2.5969,1.6623,0.0093,3308300,96900,562000,0,1900,0
walking,0,3.3139,2.7768,0.9912,10234,233,812249525650,2.7603,1.0387,0.0076,3296300,162800,840700,0,2300,0
walking,0,2.4145,2.7273,0.0000,10234,234,812249553418,2.2231,1.6916,0.4938,2404900,109900,308600,0,2200,0
walking,0,2.7012,3.3236,1.0138,10234,234,812249580691,3.3004,1.3079,0.0099,2692200,83300,607500,0,1800,0
walking,0,2.8933,3.3056,0.9871,10234,233,812249613927,3.2889,1.0891,0.0076,2882200,104000,820400,0,1800,0
walking,0,2.6355,2.4145,0.0000,10234,234,812249646983,2.3969,1.2441,0.0080,2618900,100900,271000,0,2000,0
walking,0,2.2440,2.7053,1.2718,10234,234,812249671128,2.6850,1.3200,0.0073,2235500,82500,375500,0,1900,0
walking,0,2.4681,2.8953,1.0240,10234,234,812249698181,2.8722,1.1411,0.0101,2462100,79700,335200,0,1900,0
walking,0,2.6726,2.6278,1.0148,10234,233,812249727134,2.6116,0.9428,0.0075,2668000,100900,418000,0,1800,0
walking,0,3.1336,2.2444,0.9994,16626,234,812249753412,2.2282,1.4545,0.0073,3144700,101700,724300,0,2000,0
walking,0,2.5815,2.4716,1.2278,10234,234,812249775856,2.4544,1.5956,0.0078,2535800,132000,536600,0,2100,0
walking,0,2.3604,2.6776,1.0056,10234,234,812249800572,2.1105,1.7758,0.5577,2351000,95700,383300,0,2100,0
walking,0,3.1048,3.1621,0.9933,10234,234,812249827348,3.0485,0.8843,0.0963,3092200,94900,590800,0,1700,0
walking,0,2.7666,2.5455,0.0000,10234,234,812249858969,2.5282,0.9744,0.0076,2753700,101000,257900,0,1500,0
walking,0,2.8766,2.3645,1.0189,10234,234,812249884424,2.3433,1.2087,0.0078,2870800,93400,528600,0,2100,0
walking,0,2.8951,3.1041,1.0260,10234,235,812249908069,3.0848,1.3422,0.0074,2880900,126100,553900,0,2500,0
